time,open,high,low,close,tick_volume,spread,real_volume,volume
2023-03-28 12:00:00,1.36816,1.36900,1.36781,1.36847,692.00000,0,0.00000,
2023-03-28 12:15:00,1.36847,1.36923,1.36819,1.36920,493.00000,0,0.00000,
2023-03-28 12:30:00,1.36920,1.36951,1.36887,1.36930,615.00000,0,0.00000,
2023-03-28 12:45:00,1.36931,1.36948,1.36832,1.36857,550.00000,0,0.00000,
2023-03-28 13:00:00,1.36861,1.36881,1.36776,1.36791,530.00000,0,0.00000,
2023-03-28 13:15:00,1.36790,1.36826,1.36711,1.36711,427.00000,0,0.00000,
2023-03-28 13:30:00,1.36711,1.36732,1.36691,1.36714,378.00000,0,0.00000,
2023-03-28 13:45:00,1.36714,1.36796,1.36662,1.36665,430.00000,0,0.00000,
2023-03-28 14:00:00,1.36665,1.36719,1.36644,1.36679,474.00000,0,0.00000,
2023-03-28 14:15:00,1.36678,1.36690,1.36623,1.36623,440.00000,0,0.00000,
2023-03-28 14:30:00,1.36623,1.36634,1.36550,1.36588,414.00000,0,0.00000,
2023-03-28 14:45:00,1.36589,1.36646,1.36549,1.36632,528.00000,0,0.00000,
2023-03-28 15:00:00,1.36633,1.36659,1.36539,1.36539,764.00000,0,0.00000,
2023-03-28 15:15:00,1.36539,1.36550,1.36456,1.36544,639.00000,0,0.00000,
2023-03-28 15:30:00,1.36541,1.36597,1.36507,1.36588,879.00000,0,0.00000,
2023-03-28 15:45:00,1.36588,1.36639,1.36565,1.36581,637.00000,0,0.00000,
2023-03-28 16:00:00,1.36578,1.36601,1.36475,1.36522,847.00000,0,0.00000,
2023-03-28 16:15:00,1.36524,1.36585,1.36473,1.36576,758.00000,0,0.00000,
2023-03-28 16:30:00,1.36576,1.36606,1.36486,1.36570,1449.00000,0,0.00000,
2023-03-28 16:45:00,1.36568,1.36676,1.36559,1.36607,1036.00000,0,0.00000,
2023-03-28 17:00:00,1.36605,1.36634,1.36426,1.36447,1175.00000,0,0.00000,
2023-03-28 17:15:00,1.36447,1.36454,1.36374,1.36379,964.00000,0,0.00000,
2023-03-28 17:30:00,1.36378,1.36480,1.36343,1.36343,950.00000,0,0.00000,
2023-03-28 17:45:00,1.36343,1.36344,1.36214,1.36294,1150.00000,0,0.00000,
2023-03-28 18:00:00,1.36292,1.36308,1.36193,1.36198,996.00000,0,0.00000,
2023-03-28 18:15:00,1.36198,1.36226,1.36167,1.36206,714.00000,0,0.00000,
2023-03-28 18:30:00,1.36206,1.36236,1.36135,1.36215,875.00000,0,0.00000,
2023-03-28 18:45:00,1.36212,1.36216,1.36123,1.36159,608.00000,0,0.00000,
2023-03-28 19:00:00,1.36157,1.36198,1.36132,1.36175,572.00000,0,0.00000,
2023-03-28 19:15:00,1.36176,1.36178,1.36111,1.36119,389.00000,0,0.00000,
2023-03-28 19:30:00,1.36120,1.36134,1.36039,1.36061,362.00000,0,0.00000,
2023-03-28 19:45:00,1.36060,1.36093,1.36050,1.36054,403.00000,0,0.00000,
2023-03-28 20:00:00,1.36048,1.36139,1.36033,1.36127,628.00000,0,0.00000,
2023-03-28 20:15:00,1.36127,1.36155,1.36113,1.36149,494.00000,0,0.00000,
2023-03-28 20:30:00,1.36151,1.36173,1.36131,1.36144,410.00000,0,0.00000,
2023-03-28 20:45:00,1.36144,1.36171,1.36128,1.36171,398.00000,0,0.00000,
2023-03-28 21:00:00,1.36174,1.36178,1.36133,1.36167,511.00000,0,0.00000,
2023-03-28 21:15:00,1.36167,1.36182,1.36151,1.36181,381.00000,0,0.00000,
