time,open,high,low,close,volume,spread,tick_volume,real_volume
2023-12-01 18:00:00,2049.34000,2056.82000,2044.60000,2056.03000,3020.00000,5,,
2023-12-01 18:15:00,2055.96000,2058.56000,2054.39000,2057.17000,2611.00000,9,,
2023-12-01 18:30:00,2057.16000,2058.20000,2055.51000,2058.13000,2243.00000,4,,
2023-12-01 18:45:00,2058.15000,2060.62000,2057.50000,2058.82000,1757.00000,4,,
2023-12-01 19:00:00,2058.82000,2061.65000,2057.36000,2061.37000,1637.00000,4,,
2023-12-01 19:15:00,2061.36000,2062.02000,2058.94000,2060.80000,1649.00000,6,,
2023-12-01 19:30:00,2060.80000,2063.88000,2060.22000,2063.45000,1371.00000,4,,
2023-12-01 19:45:00,2063.43000,2067.70000,2063.38000,2067.30000,1664.00000,8,,
2023-12-01 20:00:00,2067.30000,2068.01000,2065.83000,2067.70000,1644.00000,4,,
2023-12-01 20:15:00,2067.71000,2070.14000,2066.39000,2069.46000,1661.00000,4,,
2023-12-01 20:30:00,2069.49000,2075.36000,2069.16000,2072.06000,1951.00000,11,,
2023-12-01 20:45:00,2072.06000,2074.37000,2071.14000,2071.76000,1479.00000,6,,
2023-12-01 21:00:00,2071.75000,2072.23000,2070.64000,2071.03000,1245.00000,4,,
2023-12-01 21:15:00,2070.88000,2071.14000,2069.70000,2069.88000,1134.00000,6,,
2023-12-01 21:30:00,2069.92000,2070.08000,2067.82000,2068.82000,912.00000,4,,
2023-12-01 21:45:00,2068.73000,2068.80000,2065.60000,2067.04000,969.00000,4,,
2023-12-01 22:00:00,2067.02000,2069.60000,2066.51000,2069.46000,1017.00000,4,,
2023-12-01 22:15:00,2069.46000,2069.86000,2068.96000,2069.43000,766.00000,4,,
2023-12-01 22:30:00,2069.42000,2070.64000,2069.36000,2070.10000,831.00000,4,,
2023-12-01 22:45:00,2070.12000,2071.00000,2069.76000,2070.80000,947.00000,4,,
2023-12-01 23:00:00,2070.82000,2072.06000,2070.48000,2071.50000,539.00000,4,,
2023-12-01 23:15:00,2071.46000,2071.64000,2070.78000,2071.18000,320.00000,4,,
2023-12-01 23:30:00,2071.18000,2071.68000,2071.14000,2071.64000,267.00000,4,,
2023-12-01 23:45:00,2071.59000,2071.68000,2071.16000,2071.63000,275.00000,4,,
2023-12-04 01:00:00,2072.38000,2077.83000,2071.82000,2075.29000,1382.00000,4,,
2023-12-04 01:15:00,2075.02000,2136.30000,2074.89000,2129.22000,1431.00000,0,,
2023-12-04 01:30:00,2128.92000,2143.85000,2109.28000,2118.98000,698.00000,0,,
2023-12-04 01:45:00,2119.48000,2134.81000,2114.65000,2117.65000,1933.00000,8,,
2023-12-04 02:00:00,2117.75000,2120.72000,2103.18000,2109.70000,1547.00000,14,,
2023-12-04 02:15:00,2109.70000,2110.30000,2100.88000,2102.60000,1285.00000,7,,
2023-12-04 02:30:00,2102.60000,2104.00000,2095.78000,2096.28000,1077.00000,18,,
2023-12-04 02:45:00,2096.33000,2100.68000,2090.72000,2095.67000,2217.00000,13,,
2023-12-04 03:00:00,2095.93000,2098.31000,2089.23000,2090.07000,2379.00000,7,,
2023-12-04 03:15:00,2090.07000,2093.75000,2089.78000,2092.05000,1497.00000,7,,
2023-12-04 03:30:00,2092.04000,2092.04000,2083.21000,2086.77000,1823.00000,5,,
2023-12-04 03:45:00,2086.82000,2089.45000,2086.67000,2087.81000,1379.00000,7,,
2023-12-04 04:00:00,2087.80000,2088.18000,2084.30000,2084.35000,1161.00000,5,,
2023-12-04 04:15:00,2084.35000,2087.53000,2084.30000,2087.42000,914.00000,4,,
2023-12-04 04:30:00,2087.43000,2087.49000,2085.36000,2086.56000,822.00000,4,,
2023-12-04 04:45:00,2086.44000,2088.76000,2085.96000,2088.20000,1029.00000,4,,
2023-12-04 05:00:00,2088.21000,2089.35000,2086.12000,2086.46000,1075.00000,4,,
2023-12-04 05:15:00,2086.41000,2086.47000,2084.57000,2085.95000,811.00000,4,,
2023-12-04 05:30:00,2085.95000,2087.99000,2085.34000,2086.41000,570.00000,4,,
2023-12-04 05:45:00,2086.41000,2086.78000,2085.71000,2085.86000,629.00000,4,,
2023-12-04 06:00:00,2085.83000,2086.04000,2081.76000,2083.91000,861.00000,4,,
2023-12-04 06:15:00,2083.86000,2085.59000,2083.52000,2085.14000,628.00000,4,,
2023-12-04 06:30:00,2085.12000,2085.19000,2083.68000,2085.06000,504.00000,4,,
2023-12-04 06:45:00,2084.98000,2085.55000,2084.59000,2085.49000,518.00000,4,,
2023-12-04 07:00:00,2085.50000,2085.70000,2083.91000,2085.54000,619.00000,4,,
2023-12-04 07:15:00,2085.53000,2088.85000,2085.53000,2088.69000,839.00000,4,,
2023-12-04 07:30:00,2088.24000,2090.55000,2087.35000,2088.98000,1087.00000,4,,
2023-12-04 07:45:00,2088.91000,2089.28000,2086.01000,2086.06000,811.00000,4,,
2023-12-04 08:00:00,2086.07000,2087.94000,2085.44000,2086.40000,1013.00000,7,,
2023-12-04 08:15:00,2086.44000,2087.48000,2083.52000,2084.54000,1049.00000,12,,
2023-12-04 08:30:00,2084.52000,2084.72000,2082.39000,2082.54000,785.00000,8,,
2023-12-04 08:45:00,2082.52000,2082.55000,2073.78000,2076.48000,1530.00000,7,,
2023-12-04 09:00:00,2076.49000,2078.80000,2073.54000,2076.60000,1491.00000,11,,
2023-12-04 09:15:00,2076.54000,2077.16000,2073.72000,2074.07000,1229.00000,11,,
2023-12-04 09:30:00,2073.80000,2076.11000,2066.84000,2067.60000,1492.00000,11,,
2023-12-04 09:45:00,2067.70000,2072.65000,2061.71000,2063.50000,1704.00000,11,,
2023-12-04 10:00:00,2063.90000,2064.54000,2057.86000,2063.23000,1903.00000,11,,
2023-12-04 10:15:00,2063.28000,2065.42000,2061.73000,2065.14000,1645.00000,11,,
2023-12-04 10:30:00,2065.13000,2068.42000,2063.39000,2068.38000,1431.00000,8,,
2023-12-04 10:45:00,2068.43000,2070.06000,2066.88000,2069.74000,1038.00000,6,,
2023-12-04 11:00:00,2069.76000,2072.43000,2068.30000,2069.30000,1334.00000,7,,
2023-12-04 11:15:00,2069.38000,2073.33000,2068.82000,2073.16000,999.00000,8,,
2023-12-04 11:30:00,2073.18000,2076.18000,2070.07000,2072.24000,1195.00000,8,,
2023-12-04 11:45:00,2072.24000,2073.63000,2071.02000,2071.04000,872.00000,4,,
2023-12-04 12:00:00,2071.07000,2071.15000,2064.12000,2067.18000,1187.00000,7,,
2023-12-04 12:15:00,2067.14000,2067.60000,2065.69000,2066.68000,856.00000,4,,
2023-12-04 12:30:00,2066.74000,2069.32000,2066.66000,2067.28000,886.00000,4,,
2023-12-04 12:45:00,2067.30000,2068.60000,2066.64000,2068.34000,701.00000,4,,
2023-12-04 13:00:00,2068.31000,2068.52000,2066.01000,2066.78000,794.00000,4,,
2023-12-04 13:15:00,2066.78000,2070.48000,2066.31000,2069.77000,918.00000,8,,
2023-12-04 13:30:00,2069.74000,2071.68000,2068.68000,2070.84000,1020.00000,11,,
2023-12-04 13:45:00,2070.74000,2071.80000,2070.34000,2070.88000,885.00000,4,,
2023-12-04 14:00:00,2070.87000,2070.88000,2067.74000,2069.14000,1048.00000,6,,
